SSDSE-B-2026,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2022,R35000,éRå˚åß,1313000,624000,689000,1297000,616000,681000,147000,75000,72000,704000,355000,350000,462000,194000,268000,7762,3942,3820,1.47,20687,10009,10678,20738,12032,8706,23502,13023,10479,4593,1757,16.3,33.9,-0.7,83,1375.0,5926,1046112,598,17963,25800,44700,156,1450,12263,298,5001,63826,161,2981,33482,11306,10736,78,2770,30248,9980,4679,5,10,89,1458,804,18349,339,6,4078,550,41,38,4182,2821,31813,136739,218964,9991,10485,6543,3068580,24240,7015,3114,2337,1528,605072,339685,152347,110083,467761,965,22.7,112,1224,641,301,26431,14,23104,3189,315225,73441,22155,25946,13057,8910,14326,54728,9073,23113,70477
2021,R35000,éRå˚åß,1328000,630000,697000,1312000,623000,689000,151000,77000,73000,712000,358000,354000,465000,195000,269000,7978,4095,3883,1.49,19406,9390,10016,20755,12241,8514,23459,13182,10277,4773,1875,16.4,32.9,-0.2,108,2132.5,6146,1120844,609,17653,25700,44700,162,1414,13104,300,5032,65000,161,2996,33721,11249,10703,78,2829,30983,10260,4667,5,10,89,1457,767,18427,348,6,3791,614,41,38,4257,3139,32355,138753,204983,10467,10876,2708,2573720,15250,7422,3440,2405,1524,657786,385412,149931,117667,477046,973,32.5,114,1249,651,301,25884,15,23223,3229,283246,69311,25377,22467,11174,7911,13244,43030,9438,22799,58495
2020,R35000,éRå˚åß,1342059,636736,705323,1313593,622691,690902,153608,78707,74901,709992,354572,355420,459957,193034,266923,8203,4184,4019,1.48,18477,9146,9331,21026,12630,8396,24321,13962,10359,4810,1988,16.1,35.1,0.8,112,2277.0,5664,961596,623,17820,25600,44700,166,1439,13873,303,5055,66289,164,3008,33677,11107,10627,79,2855,32051,10503,4640,5,10,95,1472,780,18546,339,11,3901,531,42,41,4391,2612,31846,141620,186199,10324,10739,8433,2499800,20920,6419,3246,2029,1126,579902,363790,114430,99602,486523,982,33.0,114,1240,652,303,27942,17,26519,3532,286130,71864,15423,21938,13157,10486,12254,50565,7907,25466,57070
2019,R35000,éRå˚åß,1357000,644000,713000,1340000,636000,704000,158000,81000,77000,735000,369000,366000,466000,196000,270000,8771,4471,4300,1.56,19081,9296,9785,20887,12457,8430,25317,14113,11204,5620,2143,16.3,32.2,0.4,100,1974.5,6131,1108402,692,18427,25500,44900,170,1449,14505,306,5080,67363,165,3021,33949,11611,11207,80,2909,33099,11070,4898,5,10,94,1474,826,18449,392,8,3999,527,40,42,4678,2862,33895,136660,215460,11661,12416,30467,3506180,101980,6859,3302,2308,1175,609927,372463,121546,112086,497856,991,32.7,117,1240,656,302,26754,40,25010,3505,306301,73467,21012,22143,10218,10052,15408,54271,10463,27655,61612
2018,R35000,éRå˚åß,1369000,649000,720000,1355000,642000,712000,161000,83000,79000,745000,373000,372000,465000,195000,270000,8987,4606,4381,1.54,18836,9036,9800,20762,12420,8342,24902,14075,10827,5347,2170,16.0,35.2,-0.9,108,1939.5,6594,1313310,708,18406,25400,44900,173,1435,15015,310,5128,68208,166,3047,34467,11815,11460,79,2924,33868,10980,4728,5,10,94,1470,894,18376,430,10,3985,530,40,42,4887,2956,35262,138862,222158,12712,13429,29165,3655510,96890,8358,3655,2923,1565,731411,411885,156696,150322,499316,987,30.6,117,1263,661,309,26254,36,25669,3410,284023,68195,16559,21377,10420,9437,13687,50737,9532,23506,60574
2017,R35000,éRå˚åß,1382000,655000,728000,1369000,649000,720000,164000,84000,80000,757000,378000,378000,462000,193000,269000,9455,4836,4619,1.57,18712,9293,9419,21147,12653,8494,25240,14303,10937,5681,2194,15.6,33.9,0.3,114,1764.0,6315,1305573,743,18452,25400,45000,180,1448,15359,313,5137,68788,167,3111,35488,12102,11721,80,2980,34625,11291,4975,5,10,92,1447,919,17965,411,10,3700,537,41,43,4975,3041,37572,146913,211727,13472,14129,26434,3599570,95830,7878,3535,3005,1242,698269,403630,124192,157297,501767,986,30.8,117,1268,668,300,25867,100,24252,3265,289336,65606,19124,21533,10890,9985,13071,51913,8227,27445,61543
2016,R35000,éRå˚åß,1394000,660000,734000,1381000,654000,727000,167000,86000,82000,769000,384000,385000,458000,190000,267000,9844,5076,4768,1.58,18366,9205,9161,21394,12731,8663,25195,14206,10989,5906,2149,16.5,34.2,0.7,132,2493.0,6207,1269514,770,18583,25400,45500,182,1340,15616,317,5137,69235,167,3140,36640,12738,12334,80,2986,34834,11321,4917,5,10,93,1460,923,17864,428,17,3756,576,42,44,5119,2943,39624,156361,199961,14383,15006,25920,3634320,84830,8311,3391,3462,881,753357,390187,89914,187979,511522,994,30.9,119,1283,679,300,25622,65,24087,3282,317272,72532,16615,20782,10820,11629,13768,52825,13778,30004,74519
2015,R35000,éRå˚åß,1404729,665008,739721,1390689,658572,732117,170022,86998,83024,778430,387115,391315,447862,185728,262134,10360,5395,4965,1.60,18211,8935,9276,21869,12808,9061,26499,14895,11604,5901,2423,15.9,32.0,0.9,122,2061.0,5819,1248021,812,18672,25600,46300,185,1295,15907,320,5148,70045,172,3191,37358,12590,12203,78,2953,35131,11286,4819,5,10,96,1444,964,17463,433,13,3605,533,42,45,5195,2916,42363,168906,187919,15489,16129,22069,3762730,74260,7686,3300,3140,1211,674535,384680,122047,164704,528843,1017,29.5,119,1271,681,301,25151,71,24309,3205,299578,70527,22246,21472,12208,10846,12037,44502,11350,28421,65970
2014,R35000,éRå˚åß,1415000,669000,746000,1404000,664000,740000,174000,89000,85000,793000,394000,399000,441000,181000,259000,10197,5309,4888,1.54,17910,8844,9066,22163,13174,8989,25810,14561,11249,6163,2269,15.3,30.9,0.0,126,1715.5,5682,1177703,857,19439,26100,47000,198,1288,16347,325,5131,71144,172,3210,38113,12817,12437,81,2965,35340,11384,4942,5,10,97,1449,956,16852,420,18,3677,570,42,46,5200,3108,45300,182175,179453,16159,16617,23043,3625990,55200,7648,3253,3493,841,646760,383952,87051,172166,536079,1025,30.7,119,1274,679,298,24777,57,24945,3398,294350,66513,11982,22017,10528,11072,12245,56174,10122,28449,65249
2013,R35000,éRå˚åß,1425000,673000,752000,1413000,668000,745000,177000,90000,87000,814000,404000,410000,429000,175000,253000,10705,5503,5202,1.56,18459,9289,9170,22757,13509,9248,25944,14709,11235,6511,2525,15.8,33.9,-0.2,107,2267.0,6807,1345831,895,19851,26600,48900,202,1279,16395,339,5189,72541,174,3213,38377,12985,12534,83,2985,35475,11261,4748,5,10,100,1457,949,16923,447,10,3705,563,41,46,5168,3181,50550,205757,175104,17584,18114,25215,3499580,45700,8494,3983,3244,1153,770744,472374,120707,166743,553902,1051,29.5,120,1280,680,293,24457,33,24767,3445,284689,62939,11989,22565,9703,10107,12942,52211,9851,26733,65649
2012,R35000,éRå˚åß,1434000,677000,757000,1423000,672000,751000,180000,92000,88000,833000,413000,420000,418000,170000,248000,10797,5539,5258,1.52,18231,9076,9155,22482,13131,9351,26117,14718,11399,6547,2390,15.4,32.9,0.1,121,1692.5,6216,1356673,912,20416,27400,52400,203,1272,16507,343,5203,73830,176,3251,38868,13030,12617,85,3006,36042,11813,4893,5,10,105,1443,1008,17185,493,21,3703,598,41,47,4963,2873,54973,225656,162764,17583,17919,31838,3539970,45190,8616,3595,3812,1186,744586,430577,120084,191191,550495,1036,28.1,120,1280,671,298,24737,75,25027,3389,283103,60388,21259,21842,10942,9021,12295,52378,6954,24864,63159
2023,R36000,ìøìáåß,695000,332000,363000,688000,330000,359000,74000,38000,36000,376000,188000,187000,246000,106000,139000,3903,2042,1861,1.36,11263,5456,5807,8397,4878,3519,10744,5847,4897,2277,956,17.6,32.5,3.2,93,1761.0,2662,496340,438,9697,29000,56700,85,574,3906,184,2980,33085,89,1679,17116,5754,5484,36,1491,15854,5063,3021,3,4,94,1532,570,11510,256,23,2569,533,14,4,2048,73,18344,94298,119917,5637,5929,11271,1701790,90220,3045,1619,980,429,266908,182787,38028,44728,236674,911,15.8,90,688,411,149,11327,3,9281,1965,301013,74957,18894,22867,12393,11233,14337,46508,8955,29700,61169
2022,R36000,ìøìáåß,704000,336000,368000,698000,334000,364000,75000,39000,37000,382000,191000,191000,246000,106000,140000,4148,2128,2020,1.42,10968,5349,5619,8906,5159,3747,10789,5958,4831,2375,1008,17.2,33.2,1.9,93,1150.5,2895,508937,454,9610,29100,57100,94,599,4134,187,3012,33820,89,1717,17147,5733,5454,37,1545,16432,5502,3276,3,4,94,1538,612,11647,276,15,2662,564,14,4,2063,81,18841,93317,121179,5852,6084,3083,1424610,11800,2798,1777,605,399,279516,204500,40609,33025,247038,941,16.2,91,703,422,213,18866,0,16038,2184,283864,71064,17883,22894,13290,9767,15319,40668,9788,26543,56649
2021,R36000,ìøìáåß,712000,340000,372000,706000,338000,368000,77000,39000,37000,388000,194000,194000,247000,107000,140000,4337,2196,2141,1.44,10465,5159,5306,8820,5090,3730,10458,5688,4770,2457,1077,17.3,31.2,2.3,99,1481.5,3044,477842,466,9519,29300,57700,106,609,4670,187,3008,34181,89,1742,17432,5896,5690,37,1576,16965,5742,3315,3,4,92,1554,701,11761,343,25,2643,579,14,4,1987,89,19021,91624,114975,5960,6148,1246,1155080,3760,2973,1928,713,301,303193,225288,31261,43989,252556,950,16.6,91,701,425,211,19120,23,16403,2176,298531,77444,15724,21034,12676,8191,13918,46903,9357,26839,66446
2020,R36000,ìøìáåß,719559,343265,376294,693084,330932,362152,77129,39638,37491,375657,185922,189735,238346,102358,135988,4521,2337,2184,1.48,9886,4815,5071,8579,5006,3573,10924,5906,5018,2609,1081,17.5,34.6,4.6,92,1644.0,3042,600993,489,9834,29500,58500,111,599,4927,190,3052,34671,88,1739,17397,5741,5578,37,1610,17801,5886,3325,3,4,95,1556,715,11867,289,22,2640,542,15,4,1992,95,19274,93630,103066,6245,6435,3946,1059480,16400,3245,1971,830,435,326665,234655,43581,46932,257335,958,16.5,92,708,426,207,18319,61,16060,1992,295661,76260,14281,21216,13111,9315,16379,37376,10267,25284,72173
2019,R36000,ìøìáåß,728000,347000,381000,722000,345000,377000,81000,42000,39000,402000,200000,202000,245000,106000,139000,4554,2353,2201,1.46,10126,4876,5250,8586,4877,3709,11549,6298,5251,2878,1123,17.4,32.0,3.6,95,1543.0,3247,643811,506,9632,29700,59500,122,662,5452,191,3042,35153,89,1779,18173,6228,6068,37,1630,18431,6173,3317,3,4,93,1574,710,11821,333,18,2559,536,17,4,2136,109,20206,88331,122240,7225,7540,16412,1712750,99900,4041,2140,1385,506,372788,252801,48768,70366,262332,964,16.0,92,727,431,208,18230,73,15735,2069,278855,69212,15509,20341,10408,10550,10619,44922,10024,27718,59553
2018,R36000,ìøìáåß,736000,351000,385000,731000,349000,382000,83000,43000,40000,410000,203000,206000,243000,105000,139000,4998,2561,2437,1.52,10011,4939,5072,8829,5083,3746,11119,6016,5103,2910,1175,17.1,33.1,1.5,106,1760.0,3352,703214,511,9544,29800,59800,131,669,5802,192,3061,35645,89,1798,18534,6394,6270,39,1666,19075,6341,3311,3,4,98,1606,724,11784,322,15,2576,485,17,4,2176,109,21081,88824,122938,7616,8042,15560,1594410,86830,4377,2118,1838,420,391991,253652,40969,97272,261417,954,16.6,94,730,433,209,17952,33,16978,2315,282732,68696,17478,21478,10480,11012,10162,39718,9706,28728,65274
2017,R36000,ìøìáåß,744000,354000,389000,739000,353000,386000,85000,44000,41000,418000,207000,210000,241000,103000,138000,5182,2675,2507,1.51,10207,5040,5167,9162,5164,3998,11133,6010,5123,2985,1169,16.7,32.7,3.1,82,1496.0,3431,689536,535,9686,29900,60200,143,720,6238,199,3072,35788,90,1836,19240,6581,6450,38,1660,19486,6263,3258,3,4,96,1634,725,11781,327,19,2534,513,17,4,2208,116,22127,92773,117876,8314,8721,14583,1668040,77000,4764,2144,2166,297,419604,260202,30103,122072,261858,946,16.8,94,730,428,203,16985,94,15422,2392,273835,67317,13143,20650,11538,12767,10573,30456,12652,29672,65066
2016,R36000,ìøìáåß,750000,357000,393000,746000,356000,390000,86000,44000,42000,426000,211000,215000,238000,102000,136000,5346,2732,2614,1.51,9855,4830,5025,9107,5265,3842,10855,5951,4904,3177,1184,17.6,33.9,3.5,105,1715.0,3436,704232,583,10051,30100,60800,150,730,6482,207,3116,36195,91,1858,19863,6867,6735,38,1670,19693,6443,3421,3,4,102,1633,695,11946,308,29,2571,526,18,4,2271,114,23272,97272,111323,8758,9179,13188,1637900,57650,4658,2216,2057,352,422360,272883,34421,113149,264003,945,16.7,97,746,431,202,16348,60,15253,2374,295192,67079,18117,20832,10510,21971,11447,42249,11736,24998,66254
2015,R36000,ìøìáåß,755733,359790,395943,747141,356356,390785,87030,44704,42326,428059,211475,216584,230914,98168,132746,5586,2921,2665,1.53,9847,4967,4880,9478,5462,4016,11712,6456,5256,3229,1211,17.0,31.7,3.3,105,1985.5,3282,712412,597,10264,30400,61600,161,767,6798,209,3149,36867,92,1863,20453,6973,6847,38,1690,19743,6331,3271,3,4,103,1658,732,11761,349,19,2514,496,18,5,2328,109,23917,100704,102254,8857,9183,12470,1554800,42380,4012,2128,1505,375,386062,264168,37061,84410,269984,957,16.6,98,744,427,203,16071,57,15263,2493,277856,66752,18102,22221,9184,12439,12080,34157,9903,27968,65049
2014,R36000,ìøìáåß,763000,363000,400000,759000,362000,397000,91000,47000,44000,442000,220000,223000,230000,97000,134000,5502,2885,2617,1.46,9853,4957,4896,9438,5345,4093,10933,6025,4908,3322,1269,16.4,30.8,2.1,106,2534.0,3185,703188,601,9873,30800,63000,182,826,7349,222,3162,37560,93,1884,20801,6928,6791,38,1715,19983,6455,3186,3,4,103,1598,736,11822,341,25,2577,538,18,6,2407,145,25533,112657,101929,9174,9620,12695,1565960,26850,3878,2042,1496,316,371650,256932,31126,80597,274702,968,16.9,98,743,426,202,15657,41,15058,2718,320073,67956,24050,22285,11562,13448,12165,47669,14504,30220,76214
2013,R36000,ìøìáåß,769000,366000,403000,765000,364000,400000,93000,48000,45000,453000,225000,228000,224000,93000,131000,5666,2916,2750,1.43,10014,5071,4943,9942,5634,4308,11636,6379,5257,3426,1277,16.8,33.7,1.6,91,1949.0,3810,783335,607,9947,31500,65400,189,843,7562,226,3236,38463,94,1914,21070,7159,7005,39,1735,20217,6616,3340,3,4,112,1613,725,11794,307,27,2531,494,18,7,2386,139,28549,123797,104218,10158,10599,13153,1353490,18710,4561,2626,1660,202,453060,329508,21159,94918,274147,959,16.8,99,756,423,204,15097,41,14234,2631,308550,68063,16254,23017,11295,15998,13681,37951,12394,30036,79860
2012,R36000,ìøìáåß,775000,368000,406000,771000,367000,404000,94000,48000,46000,464000,230000,234000,217000,90000,127000,5744,2966,2778,1.44,9781,4900,4881,10532,6046,4486,11363,6235,5128,3370,1254,16.4,32.6,2.0,110,1639.0,3417,711298,631,10214,32900,69200,209,835,7756,253,3252,39400,96,1912,21132,7021,6912,39,1792,20602,6672,3359,3,4,112,1613,702,11751,325,28,2523,504,20,9,2415,207,31171,133613,97180,10596,10978,15902,1332530,19770,3578,2355,1015,178,379144,300663,19063,57262,277243,962,17.3,99,763,424,209,15567,47,14591,2668,313491,66742,22501,21980,9155,14243,11999,49286,14438,29056,74092
2023,R37000,çÅêÏåß,926000,448000,478000,910000,439000,470000,107000,55000,52000,517000,262000,255000,301000,131000,171000,5365,2763,2602,1.40,13653,6697,6956,14730,8494,6236,16782,9498,7284,3296,1424,17.6,34.2,2.3,94,1073.0,4117,770993,328,13677,32600,73600,108,849,6823,160,3493,47498,75,2033,25113,8517,7945,40,1993,23658,7552,4414,3,4,66,743,671,8971,299,8,1992,269,25,14,4363,116,26639,115239,169566,7949,7785,16288,3555390,354670,5113,2283,1853,941,443374,258960,89695,92275,286254,825,18.8,75,816,467,140,15315,12,13207,2239,286800,77148,14542,21833,12171,8763,17197,41886,5451,26394,61416
2022,R37000,çÅêÏåß,934000,451000,483000,920000,444000,476000,110000,57000,54000,522000,264000,258000,302000,131000,171000,5802,3029,2773,1.45,13552,6644,6908,15118,8634,6484,17291,9736,7555,3435,1472,17.3,34.3,1.1,73,667.5,4857,1007307,332,13681,32600,73500,108,846,7450,159,3528,48312,74,2059,25469,8552,8073,40,2024,24212,7988,4656,3,4,71,753,723,9148,329,8,2101,284,25,14,4603,151,27008,114345,172599,8202,8067,4655,2888310,25930,5434,2567,1735,1105,487642,291472,106106,88147,295408,844,19.3,76,853,473,223,25181,19,21738,2317,280367,70445,16488,23607,10791,8198,13677,37683,6833,23827,68819
2021,R37000,çÅêÏåß,942000,455000,487000,930000,449000,481000,113000,58000,55000,526000,266000,260000,303000,131000,172000,6223,3152,3071,1.51,12329,6168,6161,15429,8886,6543,17192,9627,7565,3668,1439,17.3,32.1,1.9,97,1135.5,4830,913738,343,13665,32700,73900,115,914,8261,160,3539,49196,75,2094,25629,8525,8109,40,2043,24657,8069,4554,3,4,77,748,762,9118,341,3,1971,258,26,14,4716,149,26916,112866,160628,8470,8286,2000,2057400,8200,5712,2956,1552,1194,544379,343244,119522,81037,300190,851,19.4,78,850,472,223,25144,29,21999,2157,274537,70977,18412,20920,10410,7365,13899,34533,8232,22959,66830
2020,R37000,çÅêÏåß,950244,459197,491047,920884,443644,477240,113757,58240,55517,518056,260433,257623,296533,128331,168202,6179,3105,3074,1.47,12183,6138,6045,15420,8926,6494,17247,9751,7496,3786,1498,17.4,35.5,3.1,87,1108.5,4397,842187,350,13206,32900,74400,120,1125,9188,160,3545,49988,76,2115,25567,8480,8148,40,2069,25477,8437,4656,2,4,66,764,761,9129,345,4,2004,227,26,15,4687,185,26178,113809,149072,8248,8119,6080,2097440,64410,4688,2574,1078,1012,456838,301872,100222,54140,302525,850,19.3,77,828,469,220,25625,64,23919,2555,275267,72102,17718,20061,13343,7986,11940,37944,7608,25313,61252
2019,R37000,çÅêÏåß,958000,463000,494000,945000,457000,489000,117000,60000,57000,535000,271000,264000,305000,133000,171000,6631,3391,3240,1.59,12148,5925,6223,16206,9270,6936,18219,10193,8026,4237,1674,17.3,32.4,2.6,92,927.5,4941,917668,361,13159,33000,74600,128,1115,9744,162,3552,50707,76,2147,25987,8946,8606,40,2096,25878,8355,4601,2,4,66,749,790,9120,362,12,1983,184,26,16,4920,335,28317,109701,185558,10058,9920,24378,3523450,541890,5347,2830,1653,830,511556,336903,80880,91696,312165,868,18.2,77,825,475,215,23972,182,22084,2710,308268,68727,18130,20172,11740,10541,13012,52516,9667,31246,72517
2018,R37000,çÅêÏåß,963000,466000,498000,953000,461000,492000,119000,61000,58000,540000,273000,267000,303000,132000,171000,6899,3478,3421,1.61,12169,6034,6135,16662,9592,7070,18290,10231,8059,4236,1637,17.0,34.4,0.9,94,1575.0,5054,966180,372,12802,32800,74000,143,1176,10791,165,3603,51126,76,2126,26389,8936,8615,40,2116,26479,8648,4474,2,4,63,761,813,9067,356,5,1973,204,26,17,4976,401,29219,111991,192341,10878,10602,23423,3059600,421920,6073,2866,2218,988,559535,346409,95957,117074,311337,863,18.9,78,822,477,213,23225,108,22344,2752,318612,70794,18247,21811,12422,9916,13030,46756,14449,30004,81183
2017,R37000,çÅêÏåß,968000,468000,500000,959000,464000,495000,120000,62000,59000,546000,276000,270000,301000,131000,170000,7387,3785,3602,1.65,11894,5967,5927,17174,10088,7086,18136,10336,7800,4317,1684,16.6,33.9,2.3,78,1415.5,5381,1119116,381,12168,32800,73400,148,1164,11348,166,3599,51458,77,2165,27215,9310,8984,40,2145,26587,8611,4491,2,4,65,752,752,9047,340,15,1950,230,27,19,5004,454,31544,119130,195920,11670,11409,20804,3128160,389820,6946,2947,2869,1088,621384,358465,105875,154315,315422,869,19.3,79,834,474,200,22084,227,20581,2884,299324,66797,17401,21155,10210,9915,14130,49389,7838,27505,74984
2016,R37000,çÅêÏåß,973000,471000,502000,964000,466000,498000,122000,63000,59000,553000,279000,274000,297000,129000,168000,7510,3874,3636,1.64,11908,5909,5999,16937,9895,7042,18038,10278,7760,4594,1614,17.5,34.5,2.8,92,1286.0,5005,976364,409,12603,32900,73200,154,1201,12451,167,3598,52088,77,2145,27541,9275,8916,42,2166,26840,8662,4475,2,4,69,767,741,9049,374,16,1987,228,27,20,5137,480,33139,126251,190167,12351,12017,19668,2940530,254430,6789,3002,2783,964,607013,365012,93295,146941,317915,872,18.7,80,830,478,193,20859,324,19816,2860,285575,67459,18679,21620,9407,9882,12127,36765,8212,27328,74096
2015,R37000,çÅêÏåß,976263,472308,503955,961844,465170,496674,122324,62766,59558,547844,274015,273829,286296,123355,162941,7719,4008,3711,1.63,11593,5785,5808,17999,10558,7441,18491,10504,7987,4626,1767,16.9,32.6,2.7,103,1209.5,4892,1090185,419,12694,33100,73900,158,1219,13157,170,3631,52635,77,2184,28188,9574,9191,42,2187,26762,8537,4317,2,4,72,781,790,9081,353,14,1935,206,27,20,4940,619,35268,134082,177133,13147,12686,17047,2962960,168750,6538,2842,2589,1036,595260,353296,100171,139101,324272,884,19.3,81,823,470,198,21152,129,20391,2908,312552,69654,13621,21923,9735,12193,14121,49489,9718,34390,77709
2014,R37000,çÅêÏåß,980000,474000,507000,974000,470000,503000,128000,66000,62000,567000,285000,282000,286000,123000,164000,7745,3949,3796,1.57,11503,5825,5678,17263,9931,7332,18412,10292,8120,4693,1719,16.4,31.9,1.8,106,1228.5,5003,1088484,429,12823,33500,75500,169,1274,13887,179,3663,53422,79,2183,28371,9563,9193,42,2166,26472,8263,4225,2,4,73,774,811,9089,363,11,1946,217,27,20,4782,664,37542,144027,178908,13950,13447,18164,2831930,123570,6053,2964,2437,628,555773,368883,61778,123266,328020,893,19.3,80,822,471,198,20649,0,20548,3137,306242,65263,13552,21873,11522,12233,12852,45432,9924,30596,82994
2013,R37000,çÅêÏåß,985000,475000,510000,979000,473000,506000,129000,66000,63000,579000,291000,288000,277000,118000,159000,8059,4182,3877,1.59,11512,5838,5674,18072,10402,7670,19070,10801,8269,4828,1771,16.8,34.8,0.7,90,1537.0,5952,1312428,444,13036,34300,77300,175,1239,14177,184,3705,54116,81,2179,28779,9652,9307,42,2153,25983,8154,4223,2,4,73,797,817,9110,342,15,1971,266,25,28,4923,794,40986,159572,190276,15291,14700,18511,2962670,81350,6899,3759,2379,733,685539,479961,72626,131059,330083,895,20.1,82,824,470,200,20358,0,20328,3170,319050,65096,19524,21470,11927,13345,14940,44775,10005,28889,89080
2012,R37000,çÅêÏåß,989000,477000,512000,982000,474000,508000,131000,67000,64000,591000,297000,294000,268000,113000,154000,8161,4162,3999,1.56,11369,5697,5672,18982,10839,8143,18794,10655,8139,4789,1887,16.3,34.1,1.4,109,1020.5,4952,979225,453,13344,35300,82700,175,1232,14496,185,3693,55155,82,2152,28654,9440,9093,42,2175,26111,8596,4239,2,4,75,813,819,9066,388,29,1945,234,25,34,4852,853,45273,176916,169347,15268,14697,22579,2534170,36820,5408,3126,1558,716,551774,393169,73314,84208,329914,891,19.9,83,823,474,205,20639,0,20472,3189,309212,65628,18382,22167,9207,12971,12976,46148,13394,30077,78262
2023,R38000,à§ïQåß,1291000,613000,678000,1277000,606000,671000,143000,73000,70000,707000,354000,354000,441000,187000,255000,6950,3568,3382,1.31,20265,9948,10317,16080,9409,6671,20205,11240,8965,4158,1953,17.8,33.6,2.8,103,1399.5,5048,929113,420,17464,34600,92900,114,1045,8481,279,4718,63576,131,2717,32779,10936,10412,65,2741,30435,9379,5411,5,5,70,1245,810,16850,379,58,3677,498,35,10,4661,299,32993,158136,235805,9961,10080,19930,3556280,173480,5926,2852,1950,1052,502187,306734,98555,92109,402204,836,15.8,121,1175,636,248,22442,9,17299,3266,223423,71088,17608,20078,11056,7068,11052,26590,4562,18615,35708
2022,R38000,à§ïQåß,1306000,620000,686000,1294000,614000,680000,147000,75000,72000,716000,357000,359000,443000,187000,256000,7572,3865,3707,1.39,19993,9703,10290,16724,9683,7041,20121,11142,8979,4477,1928,17.3,33.3,1.5,76,1030.0,5813,1070704,425,17314,34700,93200,117,1063,9460,280,4773,65092,132,2774,33184,11235,10773,65,2735,30733,9990,5619,5,5,68,1087,876,16546,411,48,3470,485,36,10,4741,246,33411,156402,240842,10292,10320,5564,3214240,24490,6844,3272,2344,1181,592107,362538,111563,115630,427021,880,16.0,121,1193,646,311,27980,25,24227,3664,245054,67889,17559,22404,12734,7966,12256,30294,6890,22447,44616
2021,R38000,à§ïQåß,1321000,627000,694000,1309000,621000,688000,151000,77000,74000,726000,362000,364000,444000,188000,257000,8011,4093,3918,1.40,18770,9252,9518,17367,10114,7253,19889,11177,8712,4571,1881,17.4,31.9,2.6,96,1545.5,6182,1135523,436,16841,35100,93600,121,1108,9937,281,4822,66494,132,2799,33330,11170,10793,65,2768,31473,10536,5879,5,5,68,1104,968,16321,470,112,3578,413,37,11,4680,217,33842,156026,220985,10143,10152,2390,2184600,19350,7677,3635,2826,1098,662279,414586,103301,137272,432162,881,16.1,121,1207,658,313,27601,33,24543,3197,243528,67773,13107,19986,14149,7450,12381,26852,12351,20506,48973
2020,R38000,à§ïQåß,1334841,633062,701779,1296806,613602,683204,153764,78805,74959,711738,351549,360189,434279,182877,251402,8102,4265,3837,1.40,18036,8787,9249,16749,9831,6918,19924,11076,8848,4903,2001,17.3,34.5,4.2,95,1662.0,6173,1123849,438,16443,35400,94500,126,1109,10416,281,4820,67607,134,2808,33235,10814,10457,66,2795,32547,10570,5691,5,5,67,1117,1068,16254,498,59,3635,398,37,11,4580,223,33386,157614,205934,9971,10103,7373,2429920,35560,7954,3393,3189,1022,651152,388300,91419,157152,439521,886,16.7,121,1213,657,317,27320,55,24935,3191,240210,67671,10921,19357,11010,7596,11779,40192,11800,19692,40191
2019,R38000,à§ïQåß,1346000,638000,708000,1335000,632000,702000,159000,81000,77000,739000,367000,372000,442000,186000,256000,8446,4342,4104,1.46,18281,8913,9368,16811,9806,7005,21045,11633,9412,5360,2151,17.4,32.0,3.2,101,1144.5,6278,1216464,449,15646,35800,95000,138,1182,11608,281,4880,68622,134,2849,33291,11281,10960,66,2803,33321,10786,5729,5,5,79,1105,1249,16051,633,52,3487,432,37,12,4671,333,35854,149273,237973,11958,12173,29647,3530070,203890,7668,3793,2761,1055,679202,433882,101819,140937,452163,901,16.5,122,1226,660,315,26843,103,24068,3147,253697,65533,14019,20487,13736,9309,12140,39831,8758,23791,46093
2018,R38000,à§ïQåß,1357000,642000,715000,1347000,637000,710000,162000,83000,79000,749000,371000,378000,441000,185000,255000,9330,4748,4582,1.55,18207,8936,9271,17153,10056,7097,21216,11660,9556,5421,2229,17.1,34.4,1.7,90,1796.5,6436,1203984,455,15801,36100,95000,139,1226,11879,284,4910,69473,134,2886,33942,11841,11502,66,2808,33942,11071,5777,5,5,81,1127,1366,15971,612,40,3519,427,38,11,4863,341,38411,154629,245159,13473,13755,26454,3657140,209660,7525,3758,2654,1062,674336,437539,104520,128556,452090,895,17.2,127,1244,672,319,27976,49,25188,3592,264107,68000,15644,21736,11720,10474,11126,34154,10050,25237,55967
